# z b_2^S
0.000000e+00 -3.200000e-01
5.000000e-02 -3.266500e-01
1.000000e-01 -3.326000e-01
1.500000e-01 -3.378500e-01
2.000000e-01 -3.424000e-01
2.500000e-01 -3.462500e-01
3.000000e-01 -3.494000e-01
3.500000e-01 -3.518500e-01
4.000000e-01 -3.536000e-01
4.500000e-01 -3.546500e-01
5.000000e-01 -3.550000e-01
5.500000e-01 -3.546500e-01
6.000000e-01 -3.536000e-01
6.500000e-01 -3.518500e-01
7.000000e-01 -3.494000e-01
7.500000e-01 -3.462500e-01
8.000000e-01 -3.424000e-01
8.500000e-01 -3.378500e-01
9.000000e-01 -3.326000e-01
9.500000e-01 -3.266500e-01
1.000000e+00 -3.200000e-01
1.050000e+00 -3.126500e-01
1.100000e+00 -3.046000e-01
1.150000e+00 -2.958500e-01
1.200000e+00 -2.864000e-01
1.250000e+00 -2.762500e-01
1.300000e+00 -2.654000e-01
1.350000e+00 -2.538500e-01
1.400000e+00 -2.416000e-01
1.450000e+00 -2.286500e-01
1.500000e+00 -2.150000e-01
1.550000e+00 -2.006500e-01
1.600000e+00 -1.856000e-01
1.650000e+00 -1.698500e-01
1.700000e+00 -1.534000e-01
1.750000e+00 -1.362500e-01
1.800000e+00 -1.184000e-01
1.850000e+00 -9.985000e-02
1.900000e+00 -8.060000e-02
1.950000e+00 -6.065000e-02
2.000000e+00 -4.000000e-02
2.050000e+00 -1.865000e-02
2.100000e+00 3.400000e-03
2.150000e+00 2.615000e-02
2.200000e+00 4.960000e-02
2.250000e+00 7.375000e-02
2.300000e+00 9.860000e-02
2.350000e+00 1.241500e-01
2.400000e+00 1.504000e-01
2.450000e+00 1.773500e-01
2.500000e+00 2.050000e-01
2.550000e+00 2.333500e-01
2.600000e+00 2.624000e-01
2.650000e+00 2.921500e-01
2.700000e+00 3.226000e-01
2.750000e+00 3.537500e-01
2.800000e+00 3.856000e-01
2.850000e+00 4.181500e-01
2.900000e+00 4.514000e-01
2.950000e+00 4.853500e-01
3.000000e+00 5.200000e-01
3.050000e+00 5.553500e-01
3.100000e+00 5.914000e-01
3.150000e+00 6.281500e-01
3.200000e+00 6.656000e-01
3.250000e+00 7.037500e-01
3.300000e+00 7.426000e-01
3.350000e+00 7.821500e-01
3.400000e+00 8.224000e-01
3.450000e+00 8.633500e-01
3.500000e+00 9.050000e-01
3.550000e+00 9.473500e-01
3.600000e+00 9.904000e-01
3.650000e+00 1.034150e+00
3.700000e+00 1.078600e+00
3.750000e+00 1.123750e+00
3.800000e+00 1.169600e+00
3.850000e+00 1.216150e+00
3.900000e+00 1.263400e+00
3.950000e+00 1.311350e+00
4.000000e+00 1.360000e+00
4.050000e+00 1.409350e+00
4.100000e+00 1.459400e+00
4.150000e+00 1.510150e+00
4.200000e+00 1.561600e+00
4.250000e+00 1.613750e+00
4.300000e+00 1.666600e+00
4.350000e+00 1.720150e+00
4.400000e+00 1.774400e+00
4.450000e+00 1.829350e+00
4.500000e+00 1.885000e+00
4.550000e+00 1.941350e+00
4.600000e+00 1.998400e+00
4.650000e+00 2.056150e+00
4.700000e+00 2.114600e+00
4.750000e+00 2.173750e+00
4.800000e+00 2.233600e+00
4.850000e+00 2.294150e+00
4.900000e+00 2.355400e+00
4.950000e+00 2.417350e+00
5.000000e+00 2.480000e+00
5.050000e+00 2.543350e+00
5.100000e+00 2.607400e+00
5.150000e+00 2.672150e+00
5.200000e+00 2.737600e+00
5.250000e+00 2.803750e+00
5.300000e+00 2.870600e+00
5.350000e+00 2.938150e+00
5.400000e+00 3.006400e+00
5.450000e+00 3.075350e+00
5.500000e+00 3.145000e+00
5.550000e+00 3.215350e+00
5.600000e+00 3.286400e+00
5.650000e+00 3.358150e+00
5.700000e+00 3.430600e+00
5.750000e+00 3.503750e+00
5.800000e+00 3.577600e+00
5.850000e+00 3.652150e+00
5.900000e+00 3.727400e+00
5.950000e+00 3.803350e+00
6.000000e+00 3.880000e+00
